mjd          cr      cr_err  hr      hr_err	    f_w2       f_w2_e
55145.051    0.076   0.007   +0.09   0.08   6.449094e-14 5.936401e-16
55153.545    0.105   0.008   +0.29   0.07   6.389969e-14 5.881976e-16
55160.508    0.438   0.017   -0.03   0.04   7.682432e-14 7.071690e-16
55170.072    0.082   0.006   +0.18   0.07   6.878579e-14 6.331742e-16
55177.208    0.143   0.010   +0.11   0.07   6.815516e-14 6.273693e-16
55185.274    0.189   0.014   +0.12   0.07   7.136721e-14 6.569363e-16
55193.100    0.121   0.010   +0.20   0.07   6.331385e-14 5.828050e-16
55201.937    0.291   0.015   +0.05   0.05   6.215824e-14 5.721676e-16
55209.270    0.477   0.015   +0.06   0.03   5.514406e-14 5.076019e-16
55221.944    0.232   0.011   +0.08   0.05   4.983090e-14 4.586942e-16
55226.162    0.436   0.014   -0.01   0.03   5.217936e-14 4.803118e-16
55233.188    0.512   0.021   -0.02   0.04   5.774292e-14 5.315244e-16
55337.098    0.121   0.011   +0.05   0.09   5.881644e-14 5.414062e-16	     
55361.382    0.158   0.012   +0.19   0.08   5.668899e-14 5.218230e-16
55393.080    0.402   0.020   +0.05   0.05   5.170097e-14 4.759082e-16
55418.577    0.186   0.013   +0.15   0.07   5.364123e-14 4.937683e-16
55453.676    0.228   0.016   +0.11   0.07   4.144754e-14 3.815252e-16
55473.413    0.329   0.018   -0.02   0.05   5.463849e-14 5.029482e-16
55501.920    0.734   0.028   -0.15   0.03   6.273338e-14 5.774618e-16
55529.074    0.135   0.011   +0.15   0.08   7.136721e-14 6.569363e-16
55561.665    0.478   0.021   -0.15   0.04   8.659618e-14 7.971191e-16
55585.953    0.140   0.012   +0.04   0.09   7.336666e-14 6.753412e-16
55701.765    0.085   0.010   +0.01   0.11   7.336666e-14 6.753412e-16
55729.069    0.191   0.015   -0.02   0.08   8.739744e-14 8.044948e-16
55757.968    0.094   0.010   +0.18   0.11   6.691118e-14 6.159185e-16
55785.754    0.058   0.008   -0.12   0.13   6.215824e-14 5.721676e-16
55787.957    0.084   0.008   +0.08   0.09   6.568992e-14 6.046767e-16
55788.203    0.095   0.006   -0.09   0.06   6.449094e-14 5.936401e-16
55793.894    0.128   0.014   +0.13   0.11   6.331385e-14 5.828050e-16
55797.502    0.066   0.010   +0.32   0.15   6.102373e-14 5.617243e-16
55801.571    0.042   0.010   -0.19   0.20   5.721353e-14 5.266514e-16
55805.135    0.062   0.010   +0.27   0.13   5.881644e-14 5.414062e-16
55809.666    0.096   0.011   +0.33   0.12   5.413757e-14 4.983371e-16
55813.425    0.067   0.009   -0.23   0.14   3.885964e-14 3.577035e-16
55821.657    0.075   0.011   +0.11   0.14   5.463849e-14 5.029482e-16
55826.138    0.083   0.009   +0.01   0.10   5.668899e-14 5.218230e-16
55829.012    0.194   0.015   +0.06   0.08   5.616926e-14 5.170389e-16
55834.288    0.078   0.009   +0.09   0.11   5.514406e-14 5.076019e-16
55837.034    0.081   0.009   +0.28   0.10   5.668899e-14 5.218230e-16
55841.312    0.057   0.011   -0.14   0.18   5.565430e-14 5.122987e-16
55849.235    0.052   0.013   +0.07   0.21   5.774292e-14 5.315244e-16
55853.425    0.058   0.009   -0.21   0.16   6.449094e-14 5.936401e-16	
55857.833    0.099   0.015   +0.07   0.14   7.006461e-14 6.449458e-16
55861.510    0.134   0.012   +0.19   0.09   6.878579e-14 6.331742e-16
55865.934    0.460   0.025   -0.13   0.05   6.158837e-14 1.716469e-15
55869.945    0.321   0.019   -0.10   0.06   7.473064e-14 6.878967e-16
55877.702    0.132   0.012   -0.01   0.09   7.473064e-14 1.382126e-15
55881.578    0.436   0.019   -0.07   0.05   7.336666e-14 1.356899e-15
55885.673    0.961   0.038   -0.05   0.03   7.404551e-14 1.369454e-15
55889.802    0.347   0.020   -0.04   0.06   7.473064e-14 1.382126e-15
55893.481    0.493   0.024   -0.13   0.05   6.942226e-14 1.283948e-15
55897.144    0.555   0.026   -0.00   0.04   7.136721e-14 1.319920e-15
55901.598    0.595   0.025   -0.09   0.06   6.753031e-14 1.248957e-15
55909.121    0.192   0.015   -0.17   0.07   5.413757e-14 1.001261e-15
55913.224    0.207   0.020   -0.17   0.09   6.331385e-14 1.764558e-15
55918.048    0.130   0.013   -0.10   0.10   6.331385e-14 1.764558e-15
55921.495    0.797   0.036   -0.16   0.04   6.273338e-14 1.748381e-15
55925.530    0.301   0.018   +0.07   0.06   7.202756e-14 2.007410e-15
55929.623    1.283   0.047   -0.06   0.05   7.611999e-14 2.121466e-15
55933.864    0.477   0.024   -0.17   0.06   7.404551e-14 2.063650e-15
55937.209    0.692   0.033   -0.14   0.06   7.136721e-14 1.989006e-15
55938.329    0.344   0.020   -0.05   0.06   8.194052e-14 2.283684e-15
55939.132    0.306   0.025   -0.14   0.08   8.269871e-14 2.304815e-15
55940.067    0.283   0.018   -0.21   0.06   8.194052e-14 2.283684e-15
55941.204    0.373   0.021   -0.18   0.05   8.194052e-14 2.283684e-15
55942.139    1.024   0.040   -0.20   0.05   8.269871e-14 2.304815e-15
55944.953    0.690   0.032   -0.18   0.05   8.501562e-14 2.369387e-15
55945.817    1.213   0.044   -0.11   0.05   9.067733e-14 2.527179e-15
55946.819    0.576   0.027   -0.13   0.05   8.902228e-14 2.481053e-15
55947.828     NA.0   0.000    NA.0   0.00   8.580226e-14 4.022430e-15
55948.625    0.367   0.021   -0.05   0.05   8.739744e-14 2.435769e-15
55949.896    0.912   0.044   -0.03   0.06   8.501562e-14 2.369387e-15
55950.965    0.886   0.038   -0.12   0.05   8.194052e-14 2.283684e-15
55951.098    0.678   0.032   -0.05   0.05   7.970741e-14 2.221447e-15
55957.264    0.386   0.020   -0.09   0.05   7.611999e-14 2.121466e-15
55958.173    0.699   0.031   -0.15   0.05   7.682432e-14 2.141096e-15
55959.340    0.439   0.025   -0.20   0.06   7.825259e-14 2.180901e-15
55960.396    0.335   0.025   -0.10   0.07   8.194052e-14 2.283684e-15
55961.076    0.430   0.021   -0.11   0.05   8.346391e-14 2.326141e-15
55963.953    0.243   0.017   -0.07   0.07   8.820612e-14 2.458307e-15
55964.687    0.504   0.024   -0.08   0.05   8.820612e-14 2.458307e-15
55965.624    0.151   0.013   -0.12   0.08   8.501562e-14 2.369387e-15
55966.629    0.367   0.021   -0.11   0.06   8.984599e-14 2.504010e-15
55967.624    0.332   0.020   -0.15   0.06   8.902228e-14 2.481053e-15
56073.968    0.086   0.010   +0.05   0.11   6.568992e-14 1.830780e-15
56081.977    0.091   0.013   +0.08   0.12   6.629774e-14 1.847719e-15
56089.341    0.380   0.021   -0.08   0.05   6.815516e-14 1.899486e-15
56097.919    0.127   0.012   -0.13   0.09   5.990992e-14 1.669691e-15
56105.838    0.153   0.013   -0.01   0.08   5.936066e-14 1.654383e-15
56113.069     NA     0.000    NA     0.00   6.158837e-14 1.716469e-15
56116.606    0.302   0.020   +0.14   0.07   5.668899e-14 1.579923e-15
56121.005    0.187   0.035   +0.12   0.17   6.158837e-14 1.716469e-15
56129.736    0.203   0.015   -0.13   0.07   6.158837e-14 1.716469e-15
56140.926    0.097   0.011   +0.01   0.11   5.170097e-14 1.440907e-15
56147.205    0.063   0.011   -0.09   0.15   6.508767e-14 1.813995e-15
56153.556    0.152   0.016   +0.10   0.10   6.629774e-14 1.847719e-15
56161.960    0.052   0.010   -0.28   0.17   6.815516e-14 1.899486e-15
56182.421    0.103   0.011   +0.25   0.10   6.508767e-14 1.813995e-15
56185.819    0.123   0.024   +0.15   0.18   6.046426e-14 1.685140e-15
56189.931    0.081   0.011   -0.04   0.13   6.629774e-14 1.847719e-15
56193.364    0.238   0.017   -0.08   0.07   6.753031e-14 1.882071e-15
56201.863    0.079   0.010   -0.05   0.12  	      NA	   NA
56209.945    0.092   0.011   +0.18   0.12   7.269403e-14 2.025984e-15
56217.349    0.097   0.010   +0.22   0.10   6.215824e-14 1.732352e-15
56225.581    0.391   0.020   -0.05   0.05   7.136721e-14 1.989006e-15
56233.662    0.267   0.017   -0.02   0.06   7.006461e-14 1.952702e-15
56240.863    0.448   0.029   +0.07   0.06   6.753031e-14 1.882071e-15
56249.880    0.139   0.013   +0.37   0.09   5.881644e-14 1.639215e-15
56257.031    0.187   0.015   -0.01   0.08   7.336666e-14 2.044730e-15
56265.874    0.078   0.013   -0.01   0.15   7.071291e-14 1.970770e-15
56273.202    0.120   0.026   +0.17   0.08   7.542212e-14 2.102016e-15
56283.932    0.254   0.014   +0.04   0.06   7.404551e-14 2.063650e-15
56289.628    0.425   0.022   +0.05   0.05   7.970741e-14 2.221447e-15
56297.238    0.388   0.022   +0.04   0.06   7.897665e-14 2.201081e-15
56305.251    0.147   0.016   -0.03   0.10   7.611999e-14 2.121466e-15
56313.547    0.444   0.026   +0.01   0.05   6.158837e-14 1.716469e-15
56321.489    0.327   0.020   +0.09   0.06   6.568992e-14 1.830780e-15
56330.302    0.724   0.031   -0.24   0.05  	      NA	   NA
56334.583    0.327   0.027   -0.26   0.06   6.449094e-14 3.644821e-15
56429.071    0.145   0.016   -0.07   0.11   7.473064e-14 4.223536e-15
56433.142    0.152   0.013   +0.11   0.08   7.542212e-14 4.262615e-15
56437.537    0.165   0.014   +0.14   0.08   7.136721e-14 4.033445e-15
56443.427    0.075   0.010   +0.29   0.11   6.508767e-14 3.678546e-15
56449.430    0.096   0.010   +0.12   0.10   6.215824e-14 3.512984e-15
56453.227    0.065   0.018   +0.24   0.28   6.449094e-14 3.644821e-15
56454.239    0.123   0.012   +0.26   0.09   6.629774e-14 3.746935e-15
56455.908    0.089   0.018   +0.18   0.21   6.568992e-14 3.712583e-15
56456.635    0.042   0.007   +0.06   0.16   5.463849e-14 3.087992e-15
56457.507    0.159   0.012   +0.06   0.08   6.691118e-14 3.136812e-15
56458.177    0.141   0.011   +0.22   0.08   6.568992e-14 3.079559e-15
56459.177    0.069   0.008   +0.05   0.13   6.046426e-14 2.834579e-15
56460.381    0.046   0.008   +0.16   0.16   6.046426e-14 2.834579e-15 
56461.440    0.064   0.009   -0.29   0.13   6.158837e-14 2.887277e-15
56465.653    0.106   0.011   +0.26   0.10   6.449094e-14 3.023351e-15
56468.644    0.152   0.017   +0.13   0.11   6.449094e-14 3.023351e-15
56469.992    0.102   0.016   +0.20   0.12   5.990992e-14 2.808591e-15
56470.191    0.269   0.016   -0.02   0.06   6.449094e-14 3.023351e-15
56477.992    0.411   0.019   -0.01   0.05   5.990992e-14 2.808591e-15
56481.313    0.335   0.020   +0.02   0.07   6.046426e-14 2.834579e-15
56485.438    0.443   0.022   +0.03   0.05   5.990992e-14 2.808591e-15
56489.082    0.318   0.021   -0.04   0.06   6.389969e-14 2.995632e-15
56493.553    0.172   0.014   +0.14   0.08   5.721353e-14 2.682184e-15
56497.685    0.173   0.014   -0.08   0.08   5.668899e-14 2.657593e-15
56505.671    0.038   0.009   -0.16   0.18   5.364123e-14 2.514713e-15
56513.919    0.184   0.016   +0.11   0.08   6.568992e-14 3.079559e-15
56517.575    0.095   0.011   +0.21   0.07   6.389969e-14 2.995632e-15
56521.846    0.066   0.010   -0.10   0.15   6.158837e-14 2.887277e-15
56525.319    0.066   0.009   +0.01   0.13   6.389969e-14 2.995632e-15
56529.570    0.114   0.011   +0.18   0.09   6.389969e-14 2.995632e-15
56533.569    0.098   0.011   +0.25   0.11   6.046426e-14 2.834579e-15
56537.678    0.075   0.013    NA     0.00   5.514406e-14 2.585166e-15
56541.441    0.117   0.011   +0.31   0.09   5.616926e-14 2.633228e-15
56545.678    0.327   0.020   +0.20   0.06   5.565430e-14 2.609087e-15
56549.031    0.050   0.009   -0.01   0.15   5.413757e-14 2.537982e-15
56553.153    0.081   0.010   +0.14   0.12   5.616926e-14 2.633228e-15
56557.224    0.064   0.009   +0.22   0.14   5.774292e-14 2.707002e-15
56561.845    0.185   0.015   +0.39   0.07   6.102373e-14 2.860807e-15
56565.850    0.120   0.011   +0.34   0.10   6.102373e-14 2.860807e-15
56569.987    0.217   0.019   +0.26   0.08   6.691118e-14 3.136812e-15  
56577.728    0.057   0.008   +0.27   0.14   5.881644e-14 2.757328e-15
56581.047    0.110   0.019   +0.39   0.16   6.046426e-14 2.834579e-15
56585.536    0.093   0.011   +0.16   0.11   6.215824e-14 2.913993e-15
56593.279    0.199   0.015   +0.10   0.07   6.691118e-14 3.136812e-15
56598.602    0.130   0.014   +0.23   0.11   6.046426e-14 2.834579e-15
56601.951    0.065   0.011   +0.26   0.18   5.668899e-14 2.657593e-15
56605.486    0.159   0.012   +0.08   0.14   5.774292e-14 2.707002e-15
56608.079    0.091   0.010   +0.11   0.09   5.721353e-14 2.682184e-15
56613.302    0.066   0.015   +0.11   0.21   4.715185e-14 2.210490e-15
56617.623    0.108   0.011   +0.27   0.10   5.990992e-14 2.808591e-15
56621.695    0.120   0.013   +0.30   0.10   5.827721e-14 2.732049e-15
56625.440    0.083   0.009   +0.23   0.11   5.668899e-14 2.657593e-15
56629.708    0.094   0.021   +0.16   0.22   5.936066e-14 2.782842e-15
56633.849     NA     0.0      NA     0.0    4.847287e-14 7.141847e-15
56639.105    0.105   0.011   -0.07   0.10   5.827721e-14 2.732049e-15
56642.047    0.088   0.011   +0.11   0.13   5.413757e-14 2.537982e-15
56645.181    0.086   0.010   +0.07   0.12   5.565430e-14 2.609087e-15
56649.045    0.083   0.010   +0.03   0.12   5.463849e-14 2.561465e-15
56653.722    0.058   0.008   +0.14   0.14   5.314944e-14 2.491658e-15 
56657.718    0.107   0.011   +0.09   0.10   5.565430e-14 2.609087e-15
56661.933    0.060   0.009   +0.18   0.14   5.463849e-14 2.561465e-15
56666.990    0.069   0.010   -0.26   0.13   6.389969e-14 2.995632e-15
