mjd          cr      cr_err  hr      hr_err	    f_w2       f_w2_e
57533.247    0.236   0.018   -0.03   0.07   5.463849e-14 2.561465e-15
57536.568    0.089   0.011   +0.14   0.12   5.463849e-14 2.561465e-15
57541.792    0.386   0.052   -0.10   0.15   5.774292e-14 2.707002e-15
57544.650    0.294   0.020   -0.09   0.06   5.565430e-14 2.609087e-15
57546.406    0.132   0.015   +0.26   0.10   5.217936e-14 2.446180e-15
57549.068    0.172   0.019   +0.30   0.10   5.413757e-14 2.537982e-15
57553.922    0.102   0.017   +0.15   0.16   5.029198e-14 2.357700e-15
57557.424    0.092   0.013   +0.18   0.12   4.586683e-14 2.150248e-15
57561.761    0.169   0.014   +0.08   0.08   4.260874e-14 1.997508e-15 
57565.683    0.087   0.012   +0.30   0.14   4.671956e-14 2.190224e-15
57569.306    0.137   0.013   +0.10   0.09   5.075732e-14 2.379515e-15
57573.794    0.217   0.018   -0.07   0.08   5.170097e-14 2.423754e-15
57577.050    0.242   0.018   -0.06   0.07   5.170097e-14 2.423754e-15
57585.751    0.215   0.018   +0.14   0.08   5.217936e-14 2.446180e-15
57592.859    0.246   0.015   -0.03   0.06   5.668899e-14 2.657593e-15
57601.103    0.182   0.016   -0.07   0.09   4.937405e-14 2.314667e-15
57609.709    0.185   0.016   -0.08   0.07   4.629123e-14 2.170144e-15 
57622.561    0.054   0.009   -0.13   0.12   4.544632e-14 2.130534e-15
57625.630    0.030   0.008   +0.39   0.20   4.629123e-14 2.170144e-15
57630.269    0.045   0.009   -0.09   0.16   4.758814e-14 2.230943e-15
57637.985    0.047   0.008   -0.21   0.15   4.671956e-14 2.190224e-15 
57640.703    0.033   0.008   +0.50   0.17   4.758814e-14 2.230943e-15 
57649.614    0.084   0.010   +0.47   0.10   5.616926e-14 2.633228e-15	
57657.307    0.097   0.012   +0.41   0.10   4.380248e-14 2.053471e-15
57665.556    0.499   0.056   +0.02   0.11   6.629774e-14 3.108054e-15
57668.883    0.073   0.016   +0.17   0.18   6.102373e-14 2.860807e-15
57673.007    0.053   0.009   +0.16   0.15   5.668899e-14 2.657593e-15
57681.112    0.219   0.016   +0.11   0.07   6.158837e-14 2.887277e-15
57689.537    0.233   0.016   -0.19   0.07   6.753031e-14 3.165837e-15
57697.506    0.336   0.022   -0.19   0.06   6.753031e-14 3.165837e-15
57705.683    0.168   0.014   +0.09   0.08   6.215824e-14 2.913993e-15
57713.469    0.068   0.009   +0.25   0.14   5.827721e-14 2.732049e-15
57724.624    0.084   0.011   -0.06   0.11   6.046426e-14 2.834579e-15
57729.884    0.182   0.015   -0.06   0.08   6.508767e-14 3.051325e-15
57737.848    0.125   0.015   -0.00   0.12   6.815516e-14 3.195130e-15
57742.235    0.166   0.037    NA     0.00   6.815516e-14 3.195130e-15
57745.415    0.385   0.021   -0.14   0.05   6.568992e-14 3.079559e-15
57753.653    0.067   0.009   +0.01   0.13   6.753031e-14 3.165837e-15
57761.360    0.046   0.010   +0.42   0.19   6.878579e-14 3.224694e-15
57769.612    0.061   0.009   +0.25   0.15   7.473064e-14 3.503390e-15
57777.971    0.113   0.018   +0.19   0.14   7.336666e-14 3.439446e-15
57784.017    0.132   0.016    NA     0.00   7.336666e-14 3.439446e-15
57786.810    0.669   0.038  -0.24    0.04   7.473064e-14 3.503390e-15
57893.320    0.101   0.013  +0.14    0.11   6.215824e-14 2.913993e-15
57899.379    0.546   0.029  -0.09    0.05   6.691118e-14 3.136812e-15
57901.151    0.159   0.014  -0.04    0.08   7.473064e-14 3.503390e-15
57906.633    0.147   0.014  +0.00    0.22   6.815516e-14 3.195130e-15
57909.458    0.257   0.059  +0.12    0.09   6.389969e-14 2.995632e-15
57912.967    0.189   0.015  -0.04    0.08   6.046426e-14 2.834579e-15
57913.767    0.191   0.016  +0.12    0.08   6.449094e-14 3.023351e-15
57920.056    0.153   0.018  +0.01    0.11   6.046426e-14 2.834579e-15
57920.779    0.155   0.014  +0.10    0.09   6.102373e-14 2.860807e-15
57925.501    0.321   0.020  -0.12    0.06   6.158837e-14 2.887277e-15
57927.716    0.273   0.019  -0.09    0.07   6.215824e-14 2.913993e-15
57933.083    0.327   0.021  -0.21    0.06   6.568992e-14 3.079559e-15
57934.043    0.864   0.041  -0.19    0.03   6.815516e-14 3.195130e-15
57941.472    0.215   0.019  -0.00    0.09   5.936066e-14 2.782842e-15 
57950.371    0.354   0.021  -0.18    0.06   5.217936e-14 2.446180e-15 
57957.822    0.433   0.023  -0.03    0.05   5.364123e-14 2.514713e-15 
57965.719    0.083   0.010  +0.18    0.12   4.629123e-14 2.170144e-15
57989.149    0.126   0.011  +0.14    0.08   4.847287e-14 2.272419e-15
57998.339    0.078   0.010  +0.18    0.12  	      NA	   NA
58005.055    0.128   0.013  +0.24    0.10   4.183105e-14 1.961049e-15
58013.942    0.056   0.009  -0.19    0.17   4.715185e-14 2.210490e-15
58022.919    0.420   0.025  -0.01    0.06   5.514406e-14 2.585166e-15
58029.967    0.081   0.012  -0.30    0.15   5.217936e-14 2.446180e-15
58037.538    0.320   0.028  -0.17    0.08   5.170097e-14 2.423754e-15
58046.402    0.230   0.015  -0.04    0.06   5.314944e-14 2.491658e-15
58053.468     NA     0.00    NA      0.00   5.364123e-14 2.514713e-15
58059.980    0.085   0.013  -0.13    0.14   5.266217e-14 2.468815e-15
58060.720    0.092   0.012  +0.00    0.12   5.266217e-14 2.468815e-15
58086.916    0.120   0.012  +0.14    0.09   5.616926e-14 2.633228e-15
58093.153    0.074   0.010  +0.01    0.11   5.616926e-14 2.633228e-15
58100.042    0.101   0.011  -0.01    0.12   5.266217e-14 2.468815e-15
58107.608    0.062   0.009  +0.47    0.12   5.122698e-14 2.401533e-15
58114.242    0.056   0.008  +0.05    0.15   4.629123e-14 2.170144e-15
58125.037    0.061   0.009  -0.03    0.14   5.170097e-14 2.423754e-15
58129.988    0.121   0.016  -0.18    0.15   5.413757e-14 2.537982e-15
58133.373    0.085   0.010  +0.16    0.10   5.217936e-14 2.446180e-15
58137.705    0.126   0.012  +0.08    0.09   5.314944e-14 2.491658e-15
58142.940    0.133   0.018  -0.11    0.13   5.122698e-14 2.401533e-15
58145.206    0.101   0.011  +0.06    0.11   5.029198e-14 2.357700e-15
58149.923    0.089   0.010   NA      0.00   4.892138e-14 2.293446e-15
58153.964    0.036   0.010  -0.14    0.28   4.420778e-14 2.072471e-15
58157.023    0.046   0.008  -0.02    0.16   4.420778e-14 1.232072e-15
58163.203    0.055   0.008  -0.04    0.12   4.892138e-14 1.363440e-15
58267.401    0.044   0.008  -0.10    0.12   4.300300e-14 1.605370e-15
58269.007    0.049   0.008  -0.18    0.14   4.221810e-14 1.576069e-15
58280.691    0.052   0.009  -0.27    0.18   4.340090e-14 1.620224e-15	       
58293.588    0.056   0.011  -0.18    0.20   3.745404e-14 1.398219e-15	       
58301.417    0.052   0.009  -0.39    0.16   3.544041e-14 1.323047e-15  
58307.761    0.054   0.008  -0.28    0.14   3.643332e-14 1.360113e-15
58309.244    0.063   0.008  -0.07    0.15   3.711066e-14 1.385400e-15
58310.038    0.043   0.008  -0.13    0.18   3.677043e-14 1.372698e-15
58311.107    0.051   0.008  -0.21    0.16   3.711066e-14 1.385400e-15
58312.498    0.061   0.009  -0.25    0.15   3.677043e-14 1.372698e-15
58313.230    0.031   0.007  +0.20    0.20   3.745404e-14 1.398219e-15
58315.419    0.047   0.008  -0.19    0.16   3.745404e-14 1.398219e-15
58316.084    0.037   0.007  -0.21    0.20   3.815037e-14 1.424214e-15
58317.212    0.046   0.008  -0.30    0.17   3.815037e-14 1.424214e-15
58318.582    0.045   0.007  -0.46    0.13   3.745404e-14 1.398219e-15
58319.536    0.039   0.007  -0.30    0.16  	      NA	   NA
58320.267    0.046   0.008  -0.51    0.16   3.815037e-14 1.424214e-15
58321.064    0.049   0.008  -0.00    0.15   3.958209e-14 1.477662e-15
58322.993    0.032   0.010  -0.41    0.22   4.069103e-14 1.519061e-15
58323.058    0.045   0.007  -0.35    0.16   4.069103e-14 1.519061e-15
58324.118    0.043   0.007  -0.11    0.17   3.994834e-14 1.491335e-15
58325.182    0.040   0.007  -0.06    0.17   3.384533e-14 1.263500e-15
58326.244    0.038   0.007  -0.42    0.17   4.144754e-14 1.547302e-15
58327.239    0.068   0.009  -0.11    0.15   4.031798e-14 1.505134e-15
58328.107     NA     0.0     NA      0.00  	      NA	   NA
58333.828    0.040   0.007  -0.28    0.20   4.069103e-14 1.519061e-15
58340.533    0.056   0.009  -0.10    0.15   3.921920e-14 1.464115e-15
58348.429    0.053   0.008  +0.23    0.16   4.144754e-14 1.547302e-15
58354.739    0.043   0.009  -0.36    0.15   3.447456e-14 1.286990e-15
58361.652    0.036   0.007  -0.26    0.21   3.609929e-14 1.347644e-15
58369.000    0.040   0.007  -0.26    0.14   3.711066e-14 1.385400e-15
58375.607    0.068   0.013  +0.07    0.18   3.479355e-14 1.298898e-15
58382.974    0.039   0.007  -0.33    0.16   3.232204e-14 1.206633e-15
58389.521    0.033   0.007  -0.37    0.19   3.262111e-14 1.217798e-15
58396.717    0.041   0.007  -0.10    0.18   3.202571e-14 1.195570e-15
58410.660    0.033   0.007  -0.32    0.16   3.711066e-14 1.385400e-15
58417.973    0.039   0.007  -0.21    0.17   3.958209e-14 1.477662e-15
58424.681    0.044   0.007  -0.23    0.17   4.106754e-14 1.533116e-15
58431.389    0.069   0.013  +0.21    0.18   3.885964e-14 1.450692e-15
58438.415    0.033   0.007  -0.18    0.16   3.711066e-14 1.385400e-15
58445.461    0.041   0.007  -0.26    0.14   3.745404e-14 1.398219e-15
58452.425    0.050   0.011  +0.17    0.20   3.780060e-14 1.411156e-15
58463.284    0.045   0.007  -0.28    0.12   3.711066e-14 1.385400e-15
58466.647    0.025   0.005  -0.13    0.20   3.479355e-14 1.298898e-15
58473.216    0.050   0.008  -0.13    0.13   3.994834e-14 1.491335e-15
58480.447    0.052   0.011  -0.34    0.15   3.780060e-14 1.411156e-15
58487.357    0.032   0.011  +0.08    0.30   3.780060e-14 1.411156e-15
58489.285    0.038   0.010  -0.10    0.20   3.850337e-14 1.437392e-15
58490.424    0.031   0.006  -0.37    0.18   3.885964e-14 1.450692e-15
58491.148    0.026   0.010  -0.45    0.21   3.921920e-14 1.464115e-15
58492.216    0.029   0.010   NA      0.00   4.260874e-14 1.590652e-15
58493.356    0.033   0.006  -0.11    0.19   3.994834e-14 1.491335e-15
58494.471    0.033   0.006  +0.06    0.18   3.885964e-14 1.450692e-15
58495.135    0.026   0.006  -0.18    0.22   3.994834e-14 1.491335e-15
58496.4015   0.038   0.006  -0.23    0.18   4.031798e-14 1.505134e-15
58502.0418   0.044   0.008  +0.23    0.16   4.183105e-14 1.561619e-15
58508.1479   0.045   0.008  -0.08    0.18   4.183105e-14 1.561619e-15
58516.4471   0.044   0.007  -0.20    0.15   4.461683e-14 1.665617e-15
58522.8199   0.054   0.008  +0.16    0.15   4.758814e-14 1.776541e-15
58528.0071   0.040   0.008  -0.28    0.20   4.586683e-14 1.712281e-15
58619.5173   0.043   0.007  +0.03    0.15   4.937405e-14 1.843211e-15
58626.2199   0.044   0.007  -0.05    0.16   4.983090e-14 1.860266e-15
58633.5938   0.051   0.007  -0.10    0.12   4.983090e-14 1.860266e-15
58640.7618   0.057   0.008  -0.20    0.15   5.364123e-14 2.002512e-15
58654.9814   0.039   0.007  -0.53    0.18   5.170097e-14 1.930079e-15
58661.2847   0.039   0.008  +0.00    0.17   4.715185e-14 1.760253e-15
58673.0912   0.033   0.008  -0.00    0.23   4.544632e-14 1.696583e-15
58675.0911   0.058   0.009  +0.07    0.15   4.340090e-14 1.620224e-15
58682.6560   0.062   0.012  +0.26    0.16   4.461683e-14 1.665617e-15
58691.0372   0.079   0.016  -0.38    0.20   4.544632e-14 1.696583e-15
58697.5289   0.051   0.008  -0.09    0.15   4.544632e-14 1.696583e-15
58704.8429   0.030   0.006  -0.39    0.20   4.069103e-14 1.519061e-15
58711.5539   0.030   0.007  -0.19    0.23   3.815037e-14 1.424214e-15
58718.1974   0.036   0.011  +0.23    0.23   3.479355e-14 1.298898e-15
58734.32506  0.036   0.017  -0.26    0.35   3.643332e-14 1.360113e-15
58741.4325   0.051   0.008  -0.05    0.18   3.921920e-14 1.464115e-15
58746.9441   0.031   0.007  +0.03    0.20   3.780060e-14 1.411156e-15
58754.9816   0.031   0.007  +0.17    0.19   3.850337e-14 1.437392e-15
58766.2032   0.042   0.007  +0.22    0.16   3.576833e-14 1.335289e-15
58770.1053   0.044   0.011  +0.24    0.22   3.745404e-14 1.398219e-15
58770.5148   0.041   0.007  -0.18    0.17   3.780060e-14 1.411156e-15
58770.7706   0.040   0.007  -0.09    0.21   3.711066e-14 1.385400e-15
58784.1905   0.037   0.007  -0.33    0.16   4.260874e-14 1.590652e-15
58791.08830  0.040   0.007  -0.33    0.16   4.461683e-14 1.665617e-15
58797.74179  0.040   0.008  -0.39    0.16   4.380248e-14 1.635216e-15
58804.77827  0.047   0.008  +0.03    0.12   4.758814e-14 1.776541e-15
58805.16542  0.042   0.008  -0.35    0.15   4.802847e-14 1.792979e-15
58812.88114  0.037   0.007  -0.22    0.13   4.300300e-14 1.605370e-15 
58819.12072  0.041   0.006  -0.45    0.13   3.780060e-14 1.411156e-15
58826.29377  0.036   0.006  -0.20    0.16   3.780060e-14 1.411156e-15
58833.26255  0.029   0.006  -0.38    0.18   3.994834e-14 1.491335e-15
58840.08933  0.032   0.006  -0.30    0.18   3.711066e-14 1.385400e-15
58847.27031  0.035   0.006  -0.34    0.15   3.815037e-14 1.063252e-15
58854.43470  0.041   0.007  -0.11    0.12   4.300300e-14 1.605370e-15
58861.15493  0.032   0.006  -0.28    0.17   4.586683e-14 1.712281e-15
58869.98123  0.055   0.008  +0.17    0.14   5.314944e-14 1.984153e-15
58985.63905  0.068   0.011  +0.18    0.15   5.514406e-14 2.058615e-15
58992.43683  0.098   0.011  -0.16    0.18   5.936066e-14 2.216027e-15
58996.26405  0.079   0.010  +0.06    0.13   5.463849e-14 2.039741e-15
58998.7101   0.125   0.013  -0.03    0.10   5.936066e-14 2.216027e-15
58999.04275  0.222   0.018  -0.08    0.07   6.046426e-14 2.257226e-15
59000.76809  0.148   0.016  +0.12    0.10   6.629774e-14 2.474999e-15
59002.42337  0.210   0.020  -0.11    0.10   6.215824e-14 2.320465e-15
59003.76332  0.297   0.019  -0.07    0.06   6.508767e-14 2.429826e-15
59004.89769  0.135   0.017  +0.01    0.11   6.273338e-14 2.341936e-15
59005.16214  0.149   0.014  +0.16    0.10   6.215824e-14 2.320465e-15
59006.09137  0.132   0.015  -0.18    0.11   6.102373e-14 2.278112e-15
59007.18078  0.066   0.004  -0.04    0.06   5.881644e-14 2.195711e-15
59008.21388  0.075   0.005  +0.09    0.05   5.463849e-14 1.522776e-15
59009.26847  0.108   0.005  +0.18    0.05   5.668899e-14 1.579923e-15
59011.85493  0.156   0.014  +0.13    0.09   5.990992e-14 1.669691e-15
59013.78176  0.105   0.016  +0.19    0.16   5.881644e-14 2.195711e-15
59013.85416  0.160   0.015  +0.28    0.08   5.668899e-14 2.116290e-15
59015.64189  0.200   0.019  -0.16    0.10   5.936066e-14 2.216027e-15
59017.96548  0.100   0.013  -0.42    0.10   5.668899e-14 2.116290e-15
59019.76407  0.110   0.011  -0.18    0.10   5.936066e-14 2.216027e-15
59020.16048  0.175   0.015  -0.00    0.09   5.990992e-14 2.236532e-15
59021.62666  0.159   0.014  -0.13    0.09   5.881644e-14 2.195711e-15
59023.21670  0.233   0.016  -0.06    0.07   5.881644e-14 2.195711e-15
59025.59944  0.308   0.024  -0.05    0.07   5.565430e-14 2.077663e-15
59027.65675  0.363   0.028  -0.10    0.08   5.122698e-14 1.912384e-15
59027.85434  0.446   0.028  -0.16    0.05   5.170097e-14 1.930079e-15
59029.84626  0.303   0.019  +0.04    0.06   4.937405e-14 1.843211e-15
59031.96965  0.195   0.018  -0.16    0.10   5.122698e-14 1.912384e-15
59032.17113  0.161   0.020  -0.21    0.13   5.029198e-14 1.877479e-15
59033.36409  0.145   0.017  +0.13    0.12   4.983090e-14 1.860266e-15
59034.95704  0.169   0.015  -0.04    0.09   4.802847e-14 1.792979e-15
59035.42399  0.114   0.017  +0.02    0.12   5.029198e-14 1.877479e-15
59036.75174  0.099   0.015  -0.12    0.14   5.075732e-14 1.894851e-15
59037.08344  0.083   0.014  -0.08    0.17   5.364123e-14 2.002512e-15
59038.42019  0.097   0.011  +0.13    0.10   5.364123e-14 2.002512e-15
59039.81892  0.110   0.011  -0.14    0.10   5.314944e-14 1.984153e-15
59040.08225  0.093   0.011  +0.11    0.11   5.170097e-14 1.930079e-15
59041.53151  0.079   0.010  -0.07    0.11   5.413757e-14 2.021041e-15
59045.65441  0.083   0.012  -0.10    0.15   5.314944e-14 1.984153e-15
59046.91742  0.094   0.011  -0.14    0.12   5.170097e-14 1.930079e-15
59047.58317  0.079   0.014  +0.25    0.18   5.170097e-14 1.930079e-15
59048.97506  0.116   0.012  +0.11    0.10   5.413757e-14 2.021041e-15
59049.97230  0.093   0.011  +0.07    0.12   5.314944e-14 1.984153e-15
59050.03457  0.107   0.011  +0.17    0.16   4.461683e-14 1.665617e-15
59052.42186  0.101   0.012  -0.04    0.11   4.847287e-14 1.809569e-15
59053.09802  0.246   0.021  -0.04    0.08   5.413757e-14 2.021041e-15
59056.94811  0.315   0.019  -0.08    0.06   5.514406e-14 2.058615e-15
59060.13607  0.084   0.011  -0.02    0.13   5.413757e-14 2.021041e-15
59064.77601  0.065   0.010  -0.38    0.15   5.170097e-14 1.930079e-15
59066.89170  0.097   0.021  -0.09    0.24   5.514406e-14 2.058615e-15
59068.61881  0.040   0.009  -0.01    0.20   5.122698e-14 1.912384e-15
59070.67784  0.059   0.015  +0.05    0.25   5.314944e-14 1.984153e-15
59072.68389  0.043   0.008  +0.03    0.16   5.565430e-14 2.077663e-15
59074.14096  0.063   0.009  +0.16    0.16   4.544632e-14 1.696583e-15
59076.86774  0.057   0.009  -0.20    0.16   4.983090e-14 1.860266e-15
59078.90764  0.053   0.013  +0.16    0.24   4.544632e-14 1.696583e-15
59080.83854  0.073   0.010  +0.04    0.14   4.420778e-14 1.650346e-15
59082.96647  0.045   0.009  +0.10    0.18   4.183105e-14 1.561619e-15
59084.36065  0.058   0.006  -0.24    0.15   4.340090e-14 1.620224e-15
59086.51847  0.063   0.007  +0.12    0.11   4.340090e-14 1.620224e-15
59088.61675  0.065   0.009  +0.30    0.12   4.629123e-14 1.728125e-15
59092.53272  0.180   0.019  -0.15    0.10   5.075732e-14 1.894851e-15
59094.25231  0.082   0.019  +0.09    0.20   4.340090e-14 1.620224e-15
59096.27778  0.080   0.008  -0.05    0.09   4.715185e-14 1.760253e-15
59098.44186  0.057   0.010  -0.13    0.19   4.260874e-14 1.590652e-15
59102.95833  0.040   0.007  -0.32    0.18   4.260874e-14 1.590652e-15
59105.86731  0.050   0.008  -0.14    0.16   4.502967e-14 1.681029e-15
59110.77479  0.080   0.016  +0.18    0.18   4.983090e-14 1.860266e-15
59112.43439  0.078   0.010  -0.20    0.20   4.629123e-14 1.728125e-15
59114.23255  0.038   0.011  -0.60    0.24   4.671956e-14 1.744115e-15
59122.87297  0.077   0.012  +0.07    0.15   4.586683e-14 1.712281e-15
59125.73189  0.079   0.010  +0.28    0.12   4.847287e-14 1.809569e-15
59129.77504  0.053   0.008  -0.13    0.15   4.671956e-14 1.744115e-15
59133.94823  0.083   0.015  -0.15    0.18   4.461683e-14 1.665617e-15
59141.99449  0.052   0.008  -0.03    0.16   4.260874e-14 1.590652e-15
59149.28446  0.040   0.010  -0.42    0.23  	      NA	   NA
59153.81321  0.051   0.010  +0.12    0.16   4.260874e-14 1.590652e-15
59157.48349  0.051   0.008  +0.05    0.15   4.031798e-14 1.505134e-15
59169.33416  0.039   0.008  +0.13    0.18   4.340090e-14 1.620224e-15
59173.22873  0.036   0.007  -0.19    0.20   4.758814e-14 1.776541e-15
59177.97740  0.043   0.008  +0.32    0.16   5.029198e-14 1.877479e-15
59181.63045  0.040   0.007  -0.21    0.20   4.715185e-14 1.760253e-15
59189.78130  0.063   0.010  -0.07    0.14   4.629123e-14 1.728125e-15
59193.89345  0.046   0.019   NA      0.00  	      NA	   NA
59197.94950  0.062   0.009  +0.01    0.14   4.715185e-14 1.760253e-15
59213.29156  0.032   0.007  +0.08    0.22   4.031798e-14 1.505134e-15
59224.05045  0.036   0.007  -0.03    0.17   4.340090e-14 1.620224e-15
59227.23754  0.032   0.007  -0.19    0.20   4.069103e-14 1.519061e-15
59234.46875  0.030   0.007  -0.26    0.23   3.850337e-14 1.437392e-15
